Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2960.0,5138.0,3310.0,1828.0,546034.0,2019,Grand Traverse,29,0
2917.0,5061.0,3277.0,1784.0,535603.0,2019,Grand Traverse,29,0
2908.0,5021.0,3246.0,1775.0,525341.0,2019,Grand Traverse,29,0
2916.0,5060.0,3270.0,1790.0,531773.0,2019,Grand Traverse,29,0
2860.0,4958.0,3204.0,1754.0,518140.0,2019,Grand Traverse,29,0
2841.0,4893.0,3179.0,1714.0,507369.0,2019,Grand Traverse,29,0
2924.0,5094.0,3274.0,1820.0,536247.0,2019,Grand Traverse,29,0
2526.0,4911.0,3005.0,1906.0,559692.0,2019,Gratiot,30,0
2471.0,4769.0,2940.0,1829.0,540515.0,2019,Gratiot,30,0
2466.0,4704.0,2925.0,1779.0,534524.0,2019,Gratiot,30,0
2466.0,4716.0,2904.0,1812.0,524009.0,2019,Gratiot,30,0
2457.0,4686.0,2898.0,1788.0,519940.0,2019,Gratiot,30,0
2463.0,4688.0,2902.0,1786.0,517929.0,2019,Gratiot,30,0
2462.0,4694.0,2908.0,1786.0,521476.0,2019,Gratiot,30,0
2455.0,4725.0,2908.0,1817.0,522962.0,2019,Gratiot,30,0
2442.0,4706.0,2873.0,1833.0,525444.0,2019,Gratiot,30,0
2453.0,4729.0,2879.0,1850.0,529768.0,2019,Gratiot,30,0
2426.0,4682.0,2839.0,1843.0,522291.0,2019,Gratiot,30,0
2402.0,4647.0,2808.0,1839.0,512620.0,2019,Gratiot,30,0
2457.0,4721.0,2899.0,1822.0,527598.0,2019,Gratiot,30,0
2623.0,5115.0,3161.0,1954.0,582977.0,2019,Hillsdale,31,0
