county,year,month,cases,recipients,adult recipients,child recipients,payments,average per case,average per person,avg. recipients per case,ln_cases,ln_recipients,ln_payments,adult_share,child_share
Shiawassee,2019,1,3894.0,7315.0,4596.0,2719.0,834294.0,214.25115562403698,114.0524948735475,1.8785310734463276,8.267192185932146,8.897682313454224,13.63434113720663,0.628298017771702,0.37170198222829803
Shiawassee,2019,2,3888.0,7308.0,4591.0,2717.0,820455.0,211.02237654320987,112.26806239737274,1.8796296296296295,8.265650165580329,8.896724917497897,13.617614343401316,0.6282156540777231,0.37178434592227694
Shiawassee,2019,3,3836.0,7240.0,4528.0,2712.0,815610.0,212.6199165797706,112.65331491712708,1.8873826903023982,8.252185436003328,8.887376485379763,13.611691578519485,0.625414364640884,0.37458563535911604
Shiawassee,2019,4,3790.0,7158.0,4473.0,2685.0,809619.0,213.6197889182058,113.10687342833194,1.8886543535620053,8.240121298076472,8.875985891325971,13.604319045619407,0.6248952221290863,0.3751047778709137
Shiawassee,2019,5,3768.0,7082.0,4436.0,2646.0,800826.0,212.53343949044586,113.0790737079921,1.879511677282378,8.234299635696253,8.86531163267185,13.593398973988556,0.6263767297373624,0.3736232702626377
Shiawassee,2019,6,3739.0,7001.0,4408.0,2593.0,788823.0,210.97165017384327,112.67290387087559,1.8724257822947312,8.226573474977114,8.853808274977197,13.578297240060481,0.6296243393800885,0.37037566061991145
Shiawassee,2019,7,3734.0,7044.0,4410.0,2634.0,792215.0,212.16256025709694,112.46663827370811,1.886448848419925,8.225235324101668,8.859931469616097,13.582588098603168,0.6260647359454855,0.3739352640545145
Shiawassee,2019,8,3725.0,7044.0,4388.0,2656.0,786915.0,211.2523489932886,111.71422487223168,1.891006711409396,8.22282213081366,8.859931469616097,13.575875516483979,0.6229415105053947,0.37705848949460535
Shiawassee,2019,9,3695.0,6928.0,4322.0,2606.0,762855.0,206.45602165087956,110.1118648960739,1.8749661705006766,8.214735833382303,8.843326450242271,13.544823252888355,0.6238452655889145,0.37615473441108543
Shiawassee,2019,10,3677.0,6902.0,4289.0,2613.0,760028.0,206.69785150938264,110.11706751666183,1.8770737013870002,8.209852481301272,8.839566503657949,13.541110553689123,0.6214140828745292,0.3785859171254709
Shiawassee,2019,11,3661.0,6909.0,4274.0,2635.0,760753.0,207.79923518164435,110.11043566362716,1.887189292543021,8.205491613120236,8.840580188488795,13.542064011228273,0.6186134028079316,0.3813865971920683
Shiawassee,2019,12,3723.0,6986.0,4357.0,2629.0,766201.0,205.802041364491,109.67663899227026,1.876443728176202,8.222285073872717,8.851663425366777,13.549199816390095,0.6236759232751217,0.37632407672487833
Shiawassee,2020,1,3765.0,7077.0,4435.0,2642.0,766235.0,203.5152722443559,108.27116009608591,1.8796812749003984,8.233503140233994,8.864605368075784,13.549244190184504,0.6266779708916207,0.37332202910837925
Shiawassee,2020,2,3811.0,7127.0,4477.0,2650.0,778530.0,204.2849645762267,109.23670548617932,1.8701128312778799,8.24564690087386,8.871645667501872,13.565162805159183,0.6281745474954399,0.3718254525045601
Shiawassee,2020,3,3957.0,7497.0,4691.0,2806.0,1260900.0,318.6504927975739,168.18727490996397,1.8946171341925702,8.283241441385425,8.922258219503062,14.047336309661318,0.6257169534480459,0.3742830465519541
Shiawassee,2020,4,4530.0,8866.0,5483.0,3383.0,1408473.0,310.92119205298013,158.86228287841192,1.9571743929359824,8.41847721847708,9.089979015305,14.158016696785756,0.6184299571396346,0.38157004286036544
Shiawassee,2020,5,4576.0,8935.0,5548.0,3387.0,1533188.0,335.0498251748252,171.59350867375488,1.9525786713286712,8.428580533059634,9.097731427593528,14.242859785690364,0.6209289311695579,0.37907106883044206
Shiawassee,2020,6,4175.0,7732.0,4941.0,2791.0,1336774.0,320.1853892215569,172.88851526125194,1.8519760479041916,8.336869637284956,8.953122840328222,14.1057698066427,0.6390325918261769,0.36096740817382306
Shiawassee,2020,7,3993.0,7244.0,4667.0,2577.0,1262534.0,316.1868269471575,174.28685808945335,1.814174805910343,8.292298107063221,8.887928819003305,14.048631370462097,0.6442573163997791,0.3557426836002209
Shiawassee,2020,8,3898.0,7040.0,4547.0,2493.0,1206165.0,309.4317598768599,171.3302556818182,1.806054386865059,8.268218880067506,8.859363449152088,14.002956462831222,0.6458806818181818,0.3541193181818182
Shiawassee,2020,9,3924.0,7173.0,4591.0,2582.0,1219657.0,310.8198267074414,170.03443468562665,1.8279816513761469,8.274866820685254,8.878079256126435,14.014080229639077,0.6400390352711557,0.35996096472884426
Shiawassee,2020,10,3969.0,7301.0,4649.0,2652.0,1307894.0,329.5273368606702,179.13902205177374,1.8395061728395061,8.286269452783065,8.895766604056085,14.083928767960032,0.6367620873852897,0.36323791261471033
Shiawassee,2020,11,3961.0,7337.0,4652.0,2685.0,1310221.0,330.78035849532944,178.57721139430285,1.852310022721535,8.284251797621916,8.900685318713995,14.08570638323878,0.6340466130571079,0.3659533869428922
Shiawassee,2020,12,3971.0,7395.0,4669.0,2726.0,1300665.0,327.5409216821959,175.8843813387424,1.8622513220851171,8.286773231131251,8.9085593751449,14.078386230102106,0.6313725490196078,0.3686274509803922
Shiawassee,2021,1,3988.0,7448.0,4696.0,2752.0,1524383.0,382.2424774322969,204.67011278195488,1.8676028084252758,8.291045131081729,8.915700818956903,14.23710029599103,0.6305048335123523,0.3694951664876477
Shiawassee,2021,2,4106.0,7658.0,4824.0,2834.0,1573481.0,383.21505114466635,205.4689213893967,1.865075499269362,8.32020459757888,8.943506132037239,14.26880092042164,0.6299294855053539,0.3700705144946461
Shiawassee,2021,3,4098.0,7635.0,4820.0,2815.0,1579442.0,385.41776476329915,206.8686313032089,1.863103953147877,8.318254328798846,8.940498217652733,14.272582178068898,0.6313032089063523,0.36869679109364767
Shiawassee,2021,4,3977.0,7359.0,4679.0,2680.0,1519891.0,382.1702288156902,206.53499116727815,1.850389741010812,8.28828304520769,8.903679332926599,14.23414917972482,0.6358200842505776,0.3641799157494225
Shiawassee,2021,5,3930.0,7251.0,4624.0,2627.0,1636581.0,416.4328244274809,225.70417873396772,1.8450381679389314,8.276394704863307,8.888894669371593,14.308119867573836,0.6377051441180527,0.3622948558819473
Shiawassee,2021,6,3925.0,7206.0,4599.0,2607.0,1444158.0,367.93834394904457,200.4104912572856,1.8359235668789808,8.275121630216509,8.882669291308039,14.183037010731713,0.638218151540383,0.361781848459617
Shiawassee,2021,7,3974.0,7319.0,4670.0,2649.0,1625483.0,409.02944136889784,222.0908594070228,1.8417211877201811,8.287528423111763,8.898228985601227,14.301315560350892,0.6380653094685066,0.36193469053149335
Shiawassee,2021,8,3968.0,7293.0,4657.0,2636.0,1636741.0,412.4851310483871,224.42629919100509,1.837953629032258,8.286017468404763,8.894670262984233,14.308217627586524,0.6385575209104621,0.3614424790895379
Shiawassee,2021,9,3963.0,7293.0,4657.0,2636.0,1650695.0,416.5266212465304,226.33964075140545,1.8402725208175625,8.284756593190435,8.894670262984233,14.316706969313053,0.6385575209104621,0.3614424790895379
Shiawassee,2021,10,4005.0,7344.0,4717.0,2627.0,1770800.0,442.14731585518103,241.12200435729847,1.8337078651685392,8.29529885950246,8.901638932300326,14.386941979840122,0.6422930283224401,0.35770697167755994
Shiawassee,2021,11,3982.0,7343.0,4683.0,2660.0,1766209.0,443.54821697639375,240.5296200463026,1.8440482169763939,8.289539484624141,8.90150275745161,14.38434599968951,0.6377502383222117,0.3622497616777884
Shiawassee,2021,12,3977.0,7332.0,4676.0,2656.0,1789702.0,450.0130751822982,244.09465357337697,1.8436007040482776,8.28828304520769,8.900003608959596,14.397559683510602,0.6377523186033824,0.36224768139661756
Shiawassee,2022,1,4056.0,7562.0,4777.0,2785.0,1805325.0,445.0998520710059,238.73644538481884,1.8643984220907297,8.30795254527102,8.930890984450878,14.406251188942752,0.63171118751653,0.36828881248347
Shiawassee,2022,2,4123.0,7813.0,4875.0,2938.0,1882953.0,456.6948823672083,241.0025598361705,1.8949793839437303,8.3243363327069,8.963544291996744,14.448351847157838,0.6239600665557404,0.37603993344425957
Shiawassee,2022,3,4151.0,7859.0,4920.0,2939.0,1875203.0,451.7472898096844,238.6058022649192,1.8932787280173453,8.33110454805304,8.969414650866176,14.444227478192902,0.626033846545362,0.373966153454638
