county,year,month,ok_avg_recip_per_case,ok_avg_per_person,ok_avg_per_case,computed_avg_recip_per_case,computed_avg_per_person,computed_avg_per_case,reported_avg_recip_per_case,reported_avg_per_person,reported_avg_per_case
Bay,2024,11,True,True,True,1.7702938102427128,171.20886906323798,303.0900011613053,1.77,171.0,303.0
Bay,2024,12,True,True,True,1.7718463502379018,172.34988210636627,305.3775095740977,1.77,172.0,305.0
Bay,2025,1,True,True,True,1.7649700598802396,170.42982971227246,300.8035467526486,1.76,170.0,301.0
Bay,2025,2,True,True,True,1.7667389072658835,170.97269029633935,302.06410402646287,1.77,171.0,302.0
Bay,2025,3,True,True,True,1.7694333142530052,168.86141304347825,298.7890097309674,1.77,169.0,299.0
Bay,2025,4,True,True,True,1.7620412844036697,169.38041002277905,298.4552752293578,1.76,169.0,298.0
Bay,2025,5,True,True,True,1.7665553380168144,167.31129799856575,295.5646665898883,1.77,167.0,296.0
Bay,2025,6,True,True,True,1.7710899372530793,169.514040152211,300.22461073669535,1.77,170.0,300.0
Bay,2025,7,True,True,True,1.773057116104869,171.94217440095056,304.8632958801498,1.77,172.0,305.0
Bay,2025,8,True,True,True,1.7693300481051273,172.5737400530504,305.3399037897454,1.77,173.0,305.0
Bay,2025,9,True,True,True,1.7687807161245026,172.56688277322044,305.23297449098993,1.77,173.0,305.0
Bay,2025,10,True,True,True,1.7659271562462926,176.5025193147464,311.69059200379644,1.77,177.0,312.0
Bay,2025,11,True,True,True,1.762104506232023,177.60545466911515,312.9593720038351,1.76,178.0,313.0
Bay,2025,12,True,True,True,1.7545945945945947,174.9815157116451,307.02162162162165,1.75,175.0,307.0
Benzie,2014,10,True,True,True,1.9395121951219512,112.07193158953723,217.3648780487805,1.94,112.0,217.0
Benzie,2014,11,True,True,True,1.961689587426326,107.94842263395093,211.76129666011786,1.96,108.0,212.0
Benzie,2014,12,True,True,True,1.9191820837390459,107.23997970573313,205.81304771178188,1.92,107.0,206.0
Benzie,2015,1,True,True,True,1.9237623762376237,107.92588780236747,207.62376237623764,1.92,108.0,208.0
Benzie,2015,2,True,True,True,1.9261477045908184,109.19170984455958,210.3193612774451,1.93,109.0,210.0
Benzie,2015,3,True,True,True,1.9159248269040554,108.00206504904492,206.9238377843719,1.92,108.0,207.0
Benzie,2015,4,True,True,True,1.9283551967709385,109.47148090005233,211.09989909182644,1.93,109.0,211.0
Benzie,2015,5,True,True,True,1.9537987679671458,111.50867052023122,217.86550308008214,1.95,112.0,218.0
Benzie,2015,6,True,True,True,1.9357894736842105,112.03153887982599,216.86947368421053,1.94,112.0,217.0
Benzie,2015,7,True,True,True,1.9510117145899895,109.8024017467249,214.22577209797657,1.95,110.0,214.0
Benzie,2015,8,True,True,True,1.9565217391304348,108.73722222222223,212.74673913043478,1.96,109.0,213.0
Benzie,2015,9,True,True,True,1.9501661129568106,105.53038046564453,205.8017718715393,1.95,106.0,206.0
Benzie,2015,10,True,True,True,1.9652466367713004,102.77410154021678,201.97645739910314,1.97,103.0,202.0
Benzie,2015,11,True,True,True,1.9787946428571428,103.88550479413423,205.56808035714286,1.98,104.0,206.0
Benzie,2015,12,True,True,True,1.970231532524807,103.78623391158366,204.48291069459756,1.97,104.0,204.0
Benzie,2016,1,True,True,True,1.9609810479375698,105.61910176236498,207.1170568561873,1.96,106.0,207.0
Benzie,2016,2,True,True,True,1.949438202247191,107.55100864553314,209.66404494382022,1.95,108.0,210.0
Benzie,2016,3,True,True,True,1.9572553430821147,107.70632183908046,210.80877390326208,1.96,108.0,211.0
Benzie,2016,4,True,True,True,1.9251700680272108,110.43050647820967,212.59750566893425,1.93,110.0,213.0
Benzie,2016,5,True,True,True,1.920323325635104,110.47324113048707,212.14434180138568,1.92,110.0,212.0
Benzie,2016,6,True,True,True,1.9299883313885648,108.85006045949214,210.07934655775964,1.93,109.0,210.0
Benzie,2016,7,True,True,True,1.9285714285714286,108.72716049382716,209.68809523809523,1.93,109.0,210.0
Benzie,2016,8,True,True,True,1.9223529411764706,108.72460220318237,209.0070588235294,1.92,109.0,209.0
Benzie,2016,9,True,True,True,1.8976744186046512,108.05269607843137,205.04883720930232,1.9,108.0,205.0
Benzie,2016,10,True,True,True,1.9119718309859155,108.10190300798035,206.68779342723005,1.91,108.0,207.0
Benzie,2016,11,True,True,True,1.9413145539906103,105.85973397823459,205.50704225352112,1.94,106.0,206.0
Benzie,2016,12,True,True,True,1.9267139479905437,107.08895705521472,206.32978723404256,1.93,107.0,206.0
Benzie,2017,1,True,True,True,1.95,107.53309481216458,209.68953488372094,1.95,108.0,210.0
Benzie,2017,2,True,True,True,1.9551357733175916,108.57487922705315,212.27863046044865,1.96,109.0,212.0
Benzie,2017,3,True,True,True,1.9436450839328536,109.53917334978408,212.9052757793765,1.94,110.0,213.0
Benzie,2017,4,True,True,True,1.9146634615384615,108.91023226616447,208.52644230769232,1.91,109.0,209.0
Benzie,2017,5,True,True,True,1.914179104477612,110.4769330734243,211.4726368159204,1.91,110.0,211.0
Benzie,2017,6,True,True,True,1.8940149625935163,107.2936142198815,203.21571072319202,1.89,107.0,203.0
Benzie,2017,7,True,True,True,1.9151898734177215,104.90482485128884,200.9126582278481,1.92,105.0,201.0
Benzie,2017,8,True,True,True,1.9127086007702183,109.93959731543625,210.2824133504493,1.91,110.0,210.0
Benzie,2017,9,True,True,True,1.9157088122605364,106.89266666666667,204.77522349936143,1.92,107.0,205.0
Benzie,2017,10,True,True,True,1.8721518987341772,109.11697092630156,204.28354430379747,1.87,109.0,204.0
Benzie,2017,11,True,True,True,1.89058524173028,107.86339165545087,203.92493638676845,1.89,108.0,204.0
Benzie,2017,12,True,True,True,1.9025316455696202,108.86161011310712,207.1126582278481,1.9,109.0,207.0
Benzie,2018,1,True,True,True,1.9225092250922509,107.61356365962892,206.88806888068882,1.92,108.0,207.0
Benzie,2018,2,True,True,True,1.8895558223289315,110.83100381194409,209.42136854741898,1.89,111.0,209.0
Benzie,2018,3,True,True,True,1.8932038834951457,109.27564102564102,206.88106796116506,1.89,109.0,207.0
Benzie,2018,4,True,True,True,1.9,107.8845909955612,204.98072289156627,1.9,108.0,205.0
Benzie,2018,5,True,True,True,1.887116564417178,110.29323797139142,208.1361963190184,1.89,110.0,208.0
Benzie,2018,6,True,True,True,1.886977886977887,108.85677083333333,205.4103194103194,1.89,109.0,205.0
Benzie,2018,7,True,True,True,1.879120879120879,109.1364522417154,205.08058608058607,1.88,109.0,205.0
Benzie,2018,8,True,True,True,1.8817610062893082,104.51737967914438,196.67672955974842,1.88,105.0,197.0
Benzie,2018,9,True,True,True,1.8753180661577609,104.25305291723203,195.50763358778627,1.88,104.0,196.0
Benzie,2018,10,True,True,True,1.8547120418848169,105.34509527170077,195.3848167539267,1.85,105.0,195.0
Benzie,2018,11,True,True,True,1.85464333781965,107.58055152394775,199.5235531628533,1.85,108.0,200.0
Benzie,2018,12,True,True,True,1.860372340425532,108.04503216583274,201.00398936170214,1.86,108.0,201.0
Benzie,2019,1,True,True,True,1.8708388814913448,103.31886120996441,193.29294274300932,1.87,103.0,193.0
Benzie,2019,2,True,True,True,1.8506666666666667,103.39697406340058,191.35333333333332,1.85,103.0,191.0
Benzie,2019,3,True,True,True,1.8676470588235294,101.65354330708661,189.85294117647058,1.87,102.0,190.0
Benzie,2019,4,True,True,True,1.870344827586207,102.77138643067846,192.21793103448275,1.87,103.0,192.0
Benzie,2019,5,True,True,True,1.8622159090909092,103.38062547673532,192.51704545454547,1.86,103.0,193.0
Benzie,2019,6,True,True,True,1.8693098384728342,101.37941869599372,189.50954478707783,1.87,101.0,190.0
Benzie,2019,7,True,True,True,1.8575712143928036,100.93785310734464,187.4992503748126,1.86,101.0,187.0
Benzie,2019,8,True,True,True,1.858662613981763,98.92395748160261,183.8662613981763,1.86,99.0,184.0
Benzie,2019,9,True,True,True,1.8190184049079754,93.53456998313659,170.14110429447854,1.82,94.0,170.0
Benzie,2019,10,True,True,True,1.785602503912363,97.19281332164768,173.54773082942097,1.79,97.0,174.0
Benzie,2019,11,True,True,True,1.7984615384615386,96.31822070145424,173.2246153846154,1.8,96.0,173.0
Benzie,2019,12,True,True,True,1.8021308980213089,96.80405405405405,174.45357686453576,1.8,97.0,174.0
Benzie,2020,1,True,True,True,1.8188512518409425,95.61538461538461,173.9101620029455,1.82,96.0,174.0
Benzie,2020,2,True,True,True,1.844155844155844,96.6377151799687,178.2150072150072,1.84,97.0,178.0
Benzie,2020,3,True,True,True,1.8825100133511348,160.95531914893618,303.0,1.88,161.0,303.0
Benzie,2020,4,True,True,True,1.9652375434530707,153.53950471698113,301.74159907300117,1.97,154.0,302.0
Benzie,2020,5,True,True,True,1.968361581920904,171.71239954075776,337.9920903954802,1.97,172.0,338.0
Benzie,2020,6,True,True,True,1.8576826196473553,173.96338983050848,323.16876574307304,1.86,174.0,323.0
Benzie,2020,7,True,True,True,1.7978580990629183,176.20923306031273,316.7991967871486,1.8,176.0,317.0
Benzie,2020,8,True,True,True,1.8142664872139973,170.76706231454006,309.8169582772544,1.81,171.0,310.0
Benzie,2020,9,True,True,True,1.809655172413793,171.61356707317074,310.5613793103448,1.81,172.0,311.0
